epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,102.205,1.86011,7.22047,0.01267,0.50719,0.28582,0.45223,0.33324,1.99991,2.50657,0.01862,0.00997921,0.0033264,0.00997921,0.0033264,0.00997921,0.0033264,0.00997921,0.0033264
2,185.213,1.81466,2.82608,0.0117,0.57342,0.37375,0.54253,0.28393,1.8593,2.22035,0.01588,0.0199133,0.00663776,0.0199133,0.00663776,0.0199133,0.00663776,0.0199133,0.00663776
3,260.89,1.92874,2.10133,0.0127,0.68329,0.29955,0.37599,0.19288,2.10707,2.27035,0.01997,0.0297813,0.00992712,0.0297813,0.00992712,0.0297813,0.00992712,0.0297813,0.00992712
4,330.224,1.98372,2.03271,0.01331,0.46516,0.63316,0.6837,0.36085,1.85963,1.56639,0.01557,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,404.717,1.96253,1.86996,0.01294,0.49349,0.57152,0.56643,0.26533,1.92024,1.538,0.01621,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,480.315,1.92433,1.74544,0.01245,0.83043,0.45016,0.52597,0.27832,1.85756,1.49646,0.01665,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,555.383,1.89529,1.68759,0.01233,0.82428,0.72216,0.80011,0.39127,1.80338,1.23054,0.01435,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,632.361,1.88132,1.63821,0.01203,0.77408,0.71396,0.77962,0.46407,1.70885,1.33299,0.01355,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,704.334,1.83064,1.60376,0.01177,0.68761,0.61404,0.64707,0.27863,1.87875,1.94641,0.01728,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,777.39,1.83401,1.56202,0.01137,0.87491,0.69062,0.79327,0.4839,1.65605,1.25583,0.01286,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,851.296,1.80557,1.49242,0.01122,0.68854,0.76034,0.79671,0.47966,1.67646,1.23059,0.01318,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,925.662,1.79204,1.50782,0.01116,0.71554,0.79162,0.80556,0.51271,1.69941,1.11444,0.01262,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,995.306,1.77892,1.46506,0.01097,0.76609,0.56101,0.56402,0.34651,1.96901,2.53086,0.01744,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1065.43,1.76905,1.44082,0.01093,0.84434,0.72022,0.85104,0.43938,1.61772,1.07131,0.01238,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1139.55,1.75993,1.43343,0.01084,0.84824,0.77355,0.84893,0.45934,1.65676,1.09655,0.01271,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1211.96,1.76647,1.43953,0.01112,0.74805,0.64508,0.67388,0.44911,1.67754,1.51282,0.01389,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1288.13,1.73193,1.39433,0.01069,0.89678,0.54811,0.84339,0.46374,1.52595,0.98997,0.01158,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1363.17,1.73777,1.37471,0.01069,0.84613,0.79901,0.85116,0.52817,1.53676,1.02913,0.01129,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1435.74,1.71883,1.36576,0.01058,0.78194,0.76432,0.84791,0.51028,1.49495,1.05277,0.01132,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1514.67,1.7109,1.35671,0.01052,0.84682,0.72683,0.85642,0.55494,1.53284,1.01667,0.01128,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,1589.49,1.70571,1.34974,0.01045,0.86039,0.81592,0.87118,0.55853,1.52105,0.97302,0.01116,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,1661.88,1.69662,1.31584,0.01029,0.87819,0.79618,0.88256,0.51453,1.47465,0.9311,0.01085,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,1737.51,1.69817,1.30855,0.01034,0.85057,0.69018,0.83515,0.55024,1.52201,0.99203,0.01109,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,1808.74,1.68045,1.29248,0.01018,0.78307,0.80944,0.87839,0.53455,1.53122,0.9347,0.01142,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,1880.41,1.67487,1.27687,0.01004,0.65163,0.69164,0.64362,0.41109,1.53768,1.26337,0.01179,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,1954.93,1.66548,1.28109,0.00984,0.83143,0.74696,0.86917,0.54978,1.48319,0.95937,0.0109,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,2028.93,1.66732,1.27064,0.01001,0.78973,0.66231,0.86014,0.50805,1.5058,0.95162,0.01109,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,2100.89,1.66514,1.26361,0.01017,0.87655,0.81206,0.89395,0.62861,1.40207,0.86129,0.01007,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,2174.98,1.65438,1.24109,0.00994,0.81902,0.78867,0.88148,0.58618,1.42533,0.79925,0.01021,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,2249.42,1.65563,1.22841,0.00999,0.88196,0.81955,0.90048,0.59124,1.4824,0.81469,0.01045,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,2322.63,1.65164,1.24399,0.00985,0.89091,0.81029,0.8898,0.59184,1.4694,0.86655,0.01073,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,2395.72,1.64539,1.22047,0.00998,0.87325,0.83169,0.90194,0.59552,1.42818,0.86677,0.0102,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,2467.79,1.65456,1.22842,0.00994,0.89489,0.82993,0.91207,0.64428,1.37065,0.78159,0.00953,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
